,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
110,"frozenset({'IRASu_MB', 'TM'})","frozenset({'COVIDhB', 'TminM'})",0.25,0.25,0.2,0.8,3.2,0.1375,3.750000000000001
111,"frozenset({'IRASu_MB', 'TminM'})","frozenset({'COVIDhB', 'TM'})",0.25,0.25,0.2,0.8,3.2,0.1375,3.750000000000001
258,"frozenset({'COVIDhB', 'TM', 'COVIDuB'})","frozenset({'IRASu_MB', 'TminM'})",0.25,0.25,0.2,0.8,3.2,0.1375,3.750000000000001
261,"frozenset({'COVIDhB', 'TminM', 'COVIDuB'})","frozenset({'IRASu_MB', 'TM'})",0.25,0.25,0.2,0.8,3.2,0.1375,3.750000000000001
262,"frozenset({'IRASu_MB', 'TM'})","frozenset({'COVIDhB', 'TminM', 'COVIDuB'})",0.25,0.25,0.2,0.8,3.2,0.1375,3.750000000000001
265,"frozenset({'IRASu_MB', 'TminM'})","frozenset({'COVIDhB', 'TM', 'COVIDuB'})",0.25,0.25,0.2,0.8,3.2,0.1375,3.750000000000001
102,"frozenset({'TminM', 'COVIDuB'})","frozenset({'IRASu_MB', 'TmaxMA'})",0.25,0.275,0.2,0.8,2.909090909090909,0.13125,3.625000000000001
116,"frozenset({'COVIDhB', 'TminM'})","frozenset({'IRASu_MB', 'TmaxMA'})",0.25,0.275,0.2,0.8,2.909090909090909,0.13125,3.625000000000001
153,"frozenset({'TM', 'COVIDuB'})","frozenset({'TminM', 'INFu_B'})",0.25,0.275,0.2,0.8,2.909090909090909,0.13125,3.625000000000001
165,"frozenset({'COVIDhB', 'TM'})","frozenset({'TminM', 'INFu_B'})",0.25,0.275,0.2,0.8,2.909090909090909,0.13125,3.625000000000001
278,"frozenset({'COVIDhB', 'TminM', 'COVIDuB'})","frozenset({'IRASu_MB', 'TmaxMA'})",0.25,0.275,0.2,0.8,2.909090909090909,0.13125,3.625000000000001
308,"frozenset({'COVIDhB', 'TM', 'COVIDuB'})","frozenset({'TminM', 'INFu_B'})",0.25,0.275,0.2,0.8,2.909090909090909,0.13125,3.625000000000001
100,"frozenset({'IRASu_MB', 'TminM'})","frozenset({'TmaxMA', 'COVIDuB'})",0.25,0.3,0.2,0.8,2.666666666666667,0.125,3.5000000000000004
118,"frozenset({'IRASu_MB', 'TminM'})","frozenset({'COVIDhB', 'TmaxMA'})",0.25,0.3,0.2,0.8,2.666666666666667,0.125,3.5000000000000004
142,"frozenset({'COVIDuB', 'TmaxMA', 'INFu_B'})",frozenset({'RMA'}),0.25,0.3,0.2,0.8,2.666666666666667,0.125,3.5000000000000004
152,"frozenset({'TminM', 'COVIDuB'})","frozenset({'TM', 'INFu_B'})",0.25,0.3,0.2,0.8,2.666666666666667,0.125,3.5000000000000004
156,"frozenset({'COVIDhB', 'TmaxMA', 'INFu_B'})",frozenset({'RMA'}),0.25,0.3,0.2,0.8,2.666666666666667,0.125,3.5000000000000004
164,"frozenset({'COVIDhB', 'TminM'})","frozenset({'TM', 'INFu_B'})",0.25,0.3,0.2,0.8,2.666666666666667,0.125,3.5000000000000004
216,"frozenset({'COVIDhB', 'TminM'})","frozenset({'TmaxMA', 'COVIDuB'})",0.25,0.3,0.2,0.8,2.666666666666667,0.125,3.5000000000000004
218,"frozenset({'TminM', 'COVIDuB'})","frozenset({'COVIDhB', 'TmaxMA'})",0.25,0.3,0.2,0.8,2.666666666666667,0.125,3.5000000000000004
284,"frozenset({'IRASu_MB', 'TminM'})","frozenset({'COVIDhB', 'TmaxMA', 'COVIDuB'})",0.25,0.3,0.2,0.8,2.666666666666667,0.125,3.5000000000000004
292,"frozenset({'COVIDhB', 'TmaxMA', 'INFu_B', 'COVIDuB'})",frozenset({'RMA'}),0.25,0.3,0.2,0.8,2.666666666666667,0.125,3.5000000000000004
296,"frozenset({'TmaxMA', 'INFu_B', 'COVIDuB'})","frozenset({'COVIDhB', 'RMA'})",0.25,0.3,0.2,0.8,2.666666666666667,0.125,3.5000000000000004
298,"frozenset({'COVIDhB', 'TmaxMA', 'INFu_B'})","frozenset({'RMA', 'COVIDuB'})",0.25,0.3,0.2,0.8,2.666666666666667,0.125,3.5000000000000004
311,"frozenset({'COVIDhB', 'TminM', 'COVIDuB'})","frozenset({'TM', 'INFu_B'})",0.25,0.3,0.2,0.8,2.666666666666667,0.125,3.5000000000000004
